tanggal,positif,sembuh,meninggal,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-11-29,534266.0,445793.0,16815.0,0.031473086440087894,0.834402713255195,26.51162652393696
2020-11-30,538883.0,450518.0,16945.0,0.03144467351911268,0.8360219194147894,26.587075833579227
2020-12-01,543975.0,454879.0,17081.0,0.031400340089158506,0.8362130612620066,26.630700778642936
2020-12-02,549508.0,458880.0,17199.0,0.0312989073862437,0.8350742846327988,26.68062096633525
2020-12-03,557877.0,462553.0,17355.0,0.03110900789959077,0.8291307940639245,26.652434456928837
2020-12-04,563680.0,466178.0,17479.0,0.031008728356514335,0.8270259721827987,26.670747754448193
2020-12-05,569707.0,470449.0,17589.0,0.030873764935308853,0.8257735994116274,26.7467735516516
2020-12-06,575796.0,474771.0,17740.0,0.030809522817108838,0.8245472354792323,26.762739571589627
2020-12-07,581550.0,479202.0,17867.0,0.030723067664001374,0.8240082538044881,26.82050708009179
2020-12-08,586842.0,483497.0,18000.0,0.030672651241731165,0.8238963809679607,26.860944444444446
2020-12-09,592900.0,487445.0,18171.0,0.0306476640242874,0.8221369539551358,26.825436134500027
2020-12-10,598933.0,491975.0,18336.0,0.03061444268390621,0.8214190902822186,26.831097294938917
2020-12-11,605243.0,496886.0,18511.0,0.03058440989817313,0.8209694288079333,26.842742153314244
2020-12-12,611631.0,501376.0,18653.0,0.0304971461551164,0.8197360827034601,26.879107918297326
2020-12-13,617820.0,505836.0,18819.0,0.030460328250946876,0.818743323298048,26.87900526064084
2020-12-14,623309.0,510957.0,18956.0,0.030411882388991656,0.8197491132006758,26.954895547583877
2020-12-15,629429.0,516656.0,19111.0,0.030362439607962137,0.8208328500911143,27.03448275862069
2020-12-16,636154.0,521984.0,19248.0,0.03025682460536285,0.8205308777434395,27.11886949293433
2020-12-17,643508.0,526979.0,19390.0,0.030131715534228012,0.8189160041522405,27.17787519339866
2020-12-18,650197.0,531995.0,19514.0,0.030012442382847046,0.8182058668372816,27.262221994465513
2020-12-19,657948.0,536260.0,19659.0,0.029879260975031463,0.8150492136156656,27.27809145938247
2020-12-20,664930.0,541811.0,19880.0,0.029897883987788188,0.8148391560013836,27.25407444668008
2020-12-21,671778.0,546884.0,20085.0,0.0298982699641846,0.8140844147917914,27.228478964401294
2020-12-22,678125.0,552722.0,20257.0,0.029872073732718895,0.8150739170506912,27.28548156192921
2020-12-23,685639.0,558703.0,20408.0,0.02976493460844555,0.8148646736839649,27.376666013328105
2020-12-24,692838.0,563980.0,20589.0,0.029716903518571442,0.814014242867741,27.39229685754529
2020-12-25,700097.0,570304.0,20847.0,0.029777302288111505,0.8146071187278334,27.35664604019763
2020-12-26,706837.0,576693.0,20994.0,0.029701331424359507,0.8158783425315879,27.469419834238355
2020-12-27,713365.0,583676.0,21237.0,0.029770173753968867,0.8182010611678453,27.483919574327825
2020-12-28,719219.0,589978.0,21452.0,0.02982679823530802,0.8203036905309787,27.502237553608055
2020-12-29,727122.0,596783.0,21703.0,0.029847810958821216,0.8207467247587062,27.4977192093259
2020-12-30,735124.0,603741.0,21944.0,0.029850746268656716,0.821277770825058,27.512805322639444
2020-12-31,743198.0,611097.0,22138.0,0.02978748597278249,0.8222532891638568,27.603984099738007
2021-01-01,751270.0,617936.0,22329.0,0.029721671303259815,0.8225218629786895,27.674145729768462
2021-01-02,758473.0,625518.0,22555.0,0.029737380236343286,0.8247070100056297,27.733008202172467
2021-01-03,765350.0,631937.0,22734.0,0.029704056967400534,0.8256836741360162,27.79700008797396
2021-01-04,772103.0,639103.0,22911.0,0.029673502110469718,0.8277431897039643,27.895028588887435
2021-01-05,779548.0,645746.0,23109.0,0.02964410145366289,0.8283595108960577,27.943485222207798
