tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-02-13,14032,975674,1063208,73502,43,15050,-4623,-298,10172,-4921,0.01319779384654743,0.9176699197146748,69.53206955530217
2022-02-14,14085,975770,1073483,83628,53,96,8153,1973,10275,10126,0.013120841224313753,0.908975735992093,69.27724529641462
2022-02-15,14135,984861,1082965,83969,50,9091,466,-125,9482,341,0.013052130031903154,0.9094116615033727,69.67534488857446
2022-02-16,14191,992213,1095353,88949,56,7352,4011,969,12388,4980,0.012955640784295109,0.9058385744139104,69.91846945246988
2022-02-17,14255,1008870,1103889,80764,64,16657,-6600,-1585,8536,-8185,0.012913436042935477,0.9139234107777141,70.77306208347949
2022-02-18,14301,1020564,1112078,77213,46,11694,8017,-11568,8189,-3551,0.012859709480809799,0.9177090096198288,71.36312146003776
2022-02-19,14326,1031739,1121531,75466,25,11175,-1185,-562,9453,-1747,0.012773610359410485,0.9199380133050268,72.0186374424124
2022-02-20,14358,1043718,1129667,71591,32,11979,-3806,-69,8136,-3875,0.012709940185913194,0.9239165169912904,72.69243627246135
2022-02-21,14382,1055584,1135025,65059,24,11866,-5701,-831,5358,-6532,0.012671086539944055,0.9300094711570229,73.39618968154637
2022-02-22,14415,1064272,1140233,61546,33,8688,-3465,-48,5208,-3513,0.012642152963473255,0.9333811598155816,73.83087062088103
2022-02-23,14466,1071054,1147528,62008,51,6782,624,-162,7295,462,0.012606228344754986,0.9333576174176142,74.03940273745334
2022-02-24,14513,1082827,1154383,57043,47,11773,-4866,-99,6855,-4965,0.012572083961735403,0.938013640187009,74.61083166815958
2022-02-25,14555,1091226,1158907,53126,42,8399,-3664,-253,4524,-3917,0.012559247635919016,0.9415992827724744,74.97258673995191
2022-02-26,14585,1100117,1163582,48880,30,8891,-3630,-616,4675,-4246,0.012534569974440994,0.9454572174543779,75.42797394583476
2022-02-27,14609,1109056,1167539,43874,24,8939,-4662,-344,3957,-5006,0.01251264411724148,0.9499091679164465,75.91594222739407
2022-02-28,14664,1120433,1174839,39742,55,11377,-3993,-139,7300,-4132,0.012481710259873905,0.9536906759138912,76.40705128205128
2022-03-01,14690,1126008,1178473,37775,26,5575,-1603,-364,3634,-1967,0.012465283464279622,0.9554805243734901,76.65132743362832
2022-03-02,14710,1129828,1182669,38131,20,3820,548,-192,4196,356,0.012437968696228615,0.9553205503822286,76.80679809653297
2022-03-03,14730,1137499,1187338,35109,20,7671,-2664,-358,4669,-3022,0.012405902952655435,0.9580245894597832,77.22328581126952
2022-03-04,14754,1143134,1191065,33177,24,5635,-1962,30,3727,-1932,0.01238723327442247,0.959757863760584,77.47959875288058
2022-03-05,14779,1148415,1194124,30930,25,5281,-2344,97,3059,-2247,0.012376436617972672,0.961721730741531,77.7058664320996
2022-03-06,14798,1152865,1197793,30130,19,4450,-761,-39,3669,-800,0.012354388446083756,0.962491014724581,77.90681173131505
2022-03-07,14828,1156926,1200486,28732,30,4061,-1530,132,2693,-1398,0.012351664242648394,0.9637146955483029,78.02306447261937
2022-03-08,14852,1161139,1204055,28064,24,4213,-632,-36,3569,-668,0.012334984697542887,0.9643571099326858,78.18064907083222
2022-03-09,14863,1164852,1207927,28212,11,3713,274,-126,3872,148,0.012304551516772122,0.9643397324507192,78.37260310838997
2022-03-10,14881,1168549,1211473,28043,18,3697,-147,-22,3546,-169,0.012283393851947174,0.9645687522544869,78.52624151602714
2022-03-11,14896,1173761,1214021,25364,15,5212,-2240,-439,2548,-2679,0.012269968970882712,0.9668374764522195,78.797059613319
2022-03-12,14921,1178124,1216126,23081,25,4363,-1955,-328,2105,-2283,0.012269287886288099,0.9687515931737336,78.95744253066148
2022-03-13,14955,1180576,1218000,22469,34,2452,-578,-34,1874,-612,0.01227832512315271,0.9692742200328407,78.94189234369776
2022-03-14,14988,1184667,1219307,19652,33,4091,-2334,-483,1307,-2817,0.012292228290332132,0.9715904198040363,79.041032826261
2022-03-15,15019,1187307,1220878,18552,31,2640,-770,-330,1571,-1100,0.012301802473302,0.9725025760149663,79.0536653572142
2022-03-16,15031,1189556,1222584,17997,12,2249,-508,-47,1706,-555,0.012294451751372502,0.9729850873232432,79.1401769676003
2022-03-17,15043,1193225,1224167,15899,12,3669,-1711,-387,1583,-2098,0.012288356082135852,0.9747240368348437,79.32094661969022
2022-03-18,15061,1196098,1225683,14524,18,2873,-1332,-43,1516,-1375,0.01228784277827138,0.9758624375144307,79.41690458800876
2022-03-19,15073,1198669,1227168,13426,12,2571,-941,-157,1485,-1098,0.012282751831860022,0.9767766108633863,79.52424865653818
2022-03-20,15087,1200920,1228335,12328,14,2251,-1107,9,1167,-1098,0.012282479942361,0.977681170039118,79.59965533240538
2022-03-21,15093,1202740,1229197,11364,6,1820,-920,-44,862,-964,0.012278747832934835,0.9784761921807489,79.68859736301597
2022-03-22,15102,1204167,1230209,10940,9,1427,-311,-113,1012,-424,0.012275962864846543,0.9788312392447137,79.73559793404847
2022-03-23,15106,1205353,1231444,10985,4,1186,130,-85,1235,45,0.012266899672254687,0.9788126784490403,79.79299616046605
