tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-08-02,15408,1296794,1334316,22114,0.011547489500238324,0.9718792250111667,84.16368120456906
2022-08-03,15412,1298981,1336848,22455,0.011528610582504518,0.9716744162387946,84.28373994290163
2022-08-04,15414,1302829,1339662,21419,0.011505887305902534,0.972505751450739,84.52244712598936
2022-08-05,15418,1305863,1342231,20950,0.011486845408875223,0.9729048129569351,84.69730185497471
2022-08-06,15421,1308676,1344587,20490,0.011468949201502023,0.9732921707557786,84.86323844108684
2022-08-07,15426,1311714,1346411,19271,0.011457125647369192,0.974230008518944,85.03267211201867
2022-08-08,15429,1314435,1348711,18847,0.011439811790665309,0.9745861048067377,85.19249465292631
2022-08-09,15434,1316556,1351009,19019,0.011424054169883398,0.9744983194042379,85.30231955423092
2022-08-10,15438,1318226,1353233,19569,0.01140823494549719,0.9741308407347441,85.3883922787926
2022-08-11,15443,1320606,1355451,19402,0.011393255824076267,0.9742926892967728,85.51486110211746
2022-08-12,15445,1323161,1358309,19703,0.011370755844215123,0.9741237082283928,85.66921333764972
2022-08-13,15449,1325748,1360596,19399,0.011354582844576935,0.9743876948043357,85.81448637452262
2022-08-14,15452,1328058,1362705,19195,0.011339211348017363,0.97457483461204,85.94732073517991
2022-08-15,15455,1330248,1364607,18904,0.011325605100955807,0.9748213221828702,86.0723390488515
2022-08-16,15457,1332050,1367069,19562,0.011306671426241104,0.9743838825984643,86.17778352849841
2022-08-17,15461,1334190,1369473,19822,0.011289744303100535,0.9742360747528429,86.29390078261432
2022-08-18,15463,1336607,1371533,19463,0.01127424567983417,0.9745350640487688,86.43904805018431
2022-08-19,15468,1338895,1373750,19387,0.011259690627843493,0.9746278434940855,86.55902508404448
2022-08-20,15471,1341152,1376074,19451,0.011242854672059788,0.9746220043398829,86.68812617154677
2022-08-21,15475,1343872,1377971,18624,0.011230279882522927,0.9752541962058708,86.84148626817448
2022-08-22,15479,1345918,1379517,18120,0.01122059387452275,0.9756443740816532,86.95122423929195
2022-08-23,15482,1347925,1380987,17580,0.011210822404555582,0.9760591518964334,87.06400981785299
2022-08-24,15485,1349999,1383204,17720,0.01119502257078493,0.9759941411389788,87.18107846302874
2022-08-25,15489,1353005,1385687,17193,0.01117784896589201,0.976414587132592,87.35263735554264
2022-08-26,15492,1355279,1387575,16804,0.01116480190259986,0.9767248617191864,87.48250710043894
2022-08-27,15494,1356817,1389487,17176,0.01115087798590415,0.9764877253259656,87.57047889505616
2022-08-28,15496,1359554,1390976,15926,0.011140379129474557,0.9774101062850833,87.73580278781621
2022-08-29,15500,1361353,1392192,15339,0.011133521813083252,0.9778486013423436,87.82922580645162
2022-08-30,15502,1363254,1393909,15153,0.011121242491439542,0.9780078900416024,87.9405238033802
2022-08-31,15505,1364790,1395840,15545,0.011108006648326455,0.9777553301237965,88.02257336343115
2022-09-01,15509,1366562,1397542,15471,0.011097340902813654,0.9778325087904335,88.11412728093366
2022-09-02,15512,1368792,1399042,14738,0.011087587077442992,0.978378061559267,88.24084579680247
2022-09-03,15516,1371077,1400548,13955,0.011078520693328611,0.978957522341255,88.36536478473833
2022-09-04,15519,1372751,1401805,13535,0.011070726670257276,0.9792738647672109,88.4561505251627
2022-09-05,15523,1374574,1402797,12700,0.011065749356464264,0.9798809093546679,88.55079559363526
2022-09-06,15526,1375989,1404184,12669,0.01105695549870957,0.9799207226403377,88.62482287775345
2022-09-07,15530,1377235,1405670,12905,0.011048112288090377,0.9797712123044526,88.68222794591114
2022-09-08,15531,1379171,1406988,12286,0.011038473675681669,0.9802293978342388,88.80117184984869
2022-09-09,15533,1381317,1408154,11304,0.01103075373858257,0.9809417151817201,88.92789544840018
2022-09-10,15534,1382928,1409279,10817,0.011022657685241886,0.9813017862325345,89.02587871765161
2022-09-11,15537,1384356,1410134,10241,0.011018101825783933,0.9817194677952592,89.10059857115273
2022-09-12,15540,1385702,1410887,9645,0.011014347711758632,0.982149527212314,89.17001287001287
2022-09-13,15542,1386777,1411948,9629,0.011007487527869298,0.982172856224167,89.22770557199846
2022-09-14,15546,1387757,1413176,9873,0.011000752914003634,0.9820128561481373,89.26778592564004
2022-09-15,15551,1389381,1414292,9360,0.010995607696289027,0.9823862398995399,89.34351488650248
2022-09-16,15554,1390717,1415313,9042,0.010989795190180547,0.9826215119906339,89.4121769319789
2022-09-17,15556,1392001,1416206,8649,0.01098427771101097,0.982908559912894,89.48322190794549
2022-09-18,15559,1392980,1417000,8461,0.010980239943542696,0.9830486944248412,89.52889003149302
2022-09-19,15563,1394148,1417626,7915,0.010978212871377924,0.9834385091695553,89.58092912677505
2022-09-20,15566,1394905,1418578,8107,0.010972960246105607,0.9833121618973366,89.61229602980856
2022-09-21,15570,1395674,1419552,8308,0.010968249137756137,0.9831792001983725,89.63866409762363
2022-09-22,15572,1396845,1420440,8023,0.010962800259074652,0.983388949902847,89.7023503724634
2022-09-23,15574,1398121,1421152,7457,0.01095871518317534,0.9837941332102407,89.77276229613459
2022-09-24,15575,1399122,1421839,7142,0.01095412349780812,0.9840228042696817,89.83126805778491
2022-09-25,15578,1400142,1422419,6699,0.010951765970505175,0.984338651269422,89.879445371678
2022-09-26,15581,1401070,1422965,6314,0.01094967198771579,0.9846131141665466,89.92169950580836
2022-09-27,15583,1401726,1423705,6396,0.010945385455554346,0.9845621108305442,89.95225566322274
2022-09-28,15586,1402392,1424400,6422,0.010942151081156978,0.9845492839090143,89.97767226998589
2022-09-29,15589,1403358,1425181,6234,0.010938259771916689,0.984687558983736,90.02232343319007
2022-09-30,15593,1404297,1425915,6025,0.010935434440341816,0.984839208508221,90.05944975309434
2022-10-01,15595,1405108,1426518,5815,0.01093221396435236,0.9849914266767051,90.09990381532542
2022-10-02,15596,1405927,1427069,5546,0.010928693707171833,0.9851850190845712,90.14664016414466
2022-10-03,15599,1406649,1427453,5205,0.010927855418006758,0.9854257898508743,90.1755881787294
2022-10-04,15601,1407130,1428121,5390,0.010924144382723874,0.9853016656151684,90.19485930389078
2022-10-05,15601,1407613,1428721,5507,0.010919556722411164,0.9852259468433655,90.22581885776553
2022-10-06,15601,1408456,1429401,5344,0.010914362029969198,0.9853470089918784,90.27985385552208
2022-10-07,15601,1409218,1429921,5102,0.010910392951778454,0.985521577765485,90.32869687840522
2022-10-08,15601,1410005,1430421,4815,0.01090657925184264,0.9857272788920185,90.37914236266906
2022-10-09,15602,1410653,1430886,4631,0.010903733770544963,0.9858598099359418,90.41488270734521
2022-10-10,15602,1411237,1431382,4543,0.01089995542769156,0.9859261888161232,90.45231380592232
2022-10-11,15603,1411650,1432120,4867,0.010895036728765746,0.9857065050414769,90.47298596423765
2022-10-12,15603,1412072,1432872,5197,0.010889318794700434,0.9854836998699116,90.50003204511953
2022-10-13,15605,1412824,1433580,5151,0.01088533601194213,0.9855215614057116,90.53662287728292
